states,x,y
LADAKH,-91,250
JAMMU AND KASHMIR,-132,228
HIMACHAL PRADESH,-91,190
PUNJAB,-119,173
UTTARAKHAND,-57,161
HARYANA,-105,141
UTTAR PRADESH,-34,98
RAJASTHAN,-147,93
BIHAR,54,78
MADHYA PRADESH,-78,24
JHARKHAND,46,34
WEST BENGAL,93,28
GUJARAT,-183,29
MAHARASHTRA,-130,-44
KARNATAKA,-120,-138
ANDHRA PRADESH,-64,-130
TELANGANA,-65,-73
TAMIL NADU,-74,-202
KERELA,-107,-207
ODISHA,34,-18
CHHATTISGARH,-13,-9
SIKKIM,99,116
MEGHALAYA,161,78
TRIPURA,159,47
ARUNACHAL PRADESH,208,141
NAGALAND,207,95
ASSAM,177,95
MANIPUR,197,67
MIZORAM,180,44
GOA,-152,-122
DELHI,-92,129
